config,mean_kld,kld_err
k_q8_0_l3,0.662002,0.020458
v_q8_0_l3,0.740449,0.021828
k_q8_0_l7,0.696577,0.021134
v_q8_0_l7,0.650304,0.020468
k_q8_0_l11,0.605730,0.019342
v_q8_0_l11,0.590565,0.019121
k_q8_0_l15,0.532962,0.017997
v_q8_0_l15,0.526856,0.017890
k_q8_0_l19,0.384979,0.014759
v_q8_0_l19,0.399591,0.015090
k_q8_0_l23,0.295377,0.012769
v_q8_0_l23,0.306309,0.012950
k_q8_0_l27,0.149891,0.008095
v_q8_0_l27,0.179771,0.008900
k_q8_0_l31,0.062417,0.004247
v_q8_0_l31,0.066291,0.004559
k_q8_0_l35,0.013975,0.001488
v_q8_0_l35,0.015542,0.000956
k_q8_0_l39,0.005281,0.000220
v_q8_0_l39,0.005793,0.000243
k_q8_0_l43,0.003348,0.000099
v_q8_0_l43,0.003193,0.000108
k_q8_0_l47,0.001428,0.000034
v_q8_0_l47,0.001549,0.000036
k_q8_0_l51,0.000750,0.000016
v_q8_0_l51,0.000729,0.000016
k_q8_0_l55,0.000444,0.000011
v_q8_0_l55,0.000475,0.000010
k_q8_0_l59,0.000279,0.000006
v_q8_0_l59,0.000396,0.000009
k_q8_0_l63,0.000063,0.000001
v_q8_0_l63,0.001876,0.000055
k_q5_1_l3,0.742412,0.021936
v_q5_1_l3,0.720270,0.021558
k_q5_1_l7,0.715678,0.021482
v_q5_1_l7,0.691009,0.021041
k_q5_1_l11,0.670654,0.020187
v_q5_1_l11,0.642594,0.019567
k_q5_1_l15,0.615887,0.019909
v_q5_1_l15,0.592633,0.019249
k_q5_1_l19,0.528773,0.018033
v_q5_1_l19,0.482096,0.016848
k_q5_1_l23,0.425976,0.015695
v_q5_1_l23,0.364178,0.014694
k_q5_1_l27,0.268626,0.011684
v_q5_1_l27,0.222561,0.010313
k_q5_1_l31,0.131129,0.007066
v_q5_1_l31,0.091090,0.005472
k_q5_1_l35,0.041770,0.003422
v_q5_1_l35,0.020442,0.001659
k_q5_1_l39,0.012211,0.000740
v_q5_1_l39,0.007451,0.000391
k_q5_1_l43,0.008111,0.000432
v_q5_1_l43,0.004673,0.000177
k_q5_1_l47,0.004008,0.000222
v_q5_1_l47,0.001935,0.000058
k_q5_1_l51,0.001628,0.000059
v_q5_1_l51,0.001023,0.000023
k_q5_1_l55,0.000725,0.000016
v_q5_1_l55,0.000558,0.000013
k_q5_1_l59,0.000546,0.000012
v_q5_1_l59,0.000520,0.000012
k_q5_1_l63,0.000648,0.000019
v_q5_1_l63,0.002199,0.000058
k_q4_0_l3,0.779003,0.022617
v_q4_0_l3,0.769062,0.022566
k_q4_0_l7,0.832724,0.023510
v_q4_0_l7,0.742570,0.021682
k_q4_0_l11,0.903903,0.024866
v_q4_0_l11,0.759701,0.022289
k_q4_0_l15,0.832532,0.023020
v_q4_0_l15,0.677769,0.020306
k_q4_0_l19,0.813296,0.022871
v_q4_0_l19,0.622873,0.020124
k_q4_0_l23,0.705022,0.021553
v_q4_0_l23,0.507152,0.017472
k_q4_0_l27,0.501598,0.017081
v_q4_0_l27,0.356694,0.014605
k_q4_0_l31,0.334758,0.013727
v_q4_0_l31,0.181969,0.008769
k_q4_0_l35,0.116250,0.006237
v_q4_0_l35,0.034799,0.002486
k_q4_0_l39,0.038786,0.002740
v_q4_0_l39,0.011908,0.000700
k_q4_0_l43,0.019621,0.001081
v_q4_0_l43,0.008120,0.000482
k_q4_0_l47,0.011900,0.000567
v_q4_0_l47,0.003511,0.000117
k_q4_0_l51,0.005215,0.000229
v_q4_0_l51,0.001777,0.000044
k_q4_0_l55,0.001687,0.000049
v_q4_0_l55,0.000706,0.000016
k_q4_0_l59,0.001495,0.000042
v_q4_0_l59,0.000792,0.000019
k_q4_0_l63,0.002333,0.000066
v_q4_0_l63,0.003435,0.000078
