config,mean_kld,kld_err,same_top_pct,d_ppl
self_check_f16,0.000000,0.000000,0.011,0.757023
all_q4,1.836479,0.036073,0.343,0.780327
all_w1024,8.801801,0.073277,0.371,-4.069962
quant_l3,0.869383,0.024167,0.292,0.768275
quant_l7,0.916458,0.024621,0.295,0.746309
quant_l11,1.029233,0.026545,0.301,0.738131
quant_l15,1.065098,0.026538,0.304,0.688388
quant_l19,1.080902,0.027151,0.305,0.682570
quant_l23,1.011121,0.026091,0.303,0.763852
quant_l27,0.939192,0.024595,0.300,0.734430
quant_l31,0.879502,0.023938,0.297,0.787163
quant_l35,0.786433,0.022467,0.289,0.774401
quant_l39,0.754034,0.022061,0.284,0.778395
quant_l43,0.747499,0.021917,0.284,0.762540
quant_l47,0.748145,0.021868,0.286,0.736779
quant_l51,0.745546,0.021836,0.285,0.727801
quant_l55,0.741280,0.021853,0.285,0.742956
quant_l59,0.741051,0.021816,0.284,0.739431
quant_l63,0.741852,0.021801,0.288,0.760695
window_l3,3.271028,0.050287,0.367,0.649596
window_l7,3.469192,0.051185,0.371,0.672507
window_l11,4.877975,0.059852,0.387,0.859931
window_l15,4.116485,0.055277,0.381,0.671588
window_l19,3.693443,0.052319,0.377,0.296945
window_l23,3.892870,0.054272,0.379,1.045500
window_l27,4.775322,0.059324,0.388,0.298011
window_l31,3.648939,0.050738,0.380,-0.118527
window_l35,2.506257,0.041558,0.364,0.623645
window_l39,1.451226,0.030354,0.337,0.837713
window_l43,1.137508,0.024547,0.334,0.824733
window_l47,0.741213,0.017983,0.315,0.590361
window_l51,0.519339,0.012575,0.305,0.615641
window_l55,0.172667,0.004891,0.255,0.823695
window_l59,0.214993,0.005523,0.265,0.777529
window_l63,0.995876,0.017150,0.327,-0.026899
