config,ppl,err
baseline_f16,5.1872,0.05284
all_q4,5.1987,0.05300
all_w1024,14.8643,0.21070
quant_l3,5.1888,0.05287
quant_l7,5.1883,0.05286
quant_l11,5.1885,0.05287
quant_l15,5.1893,0.05288
quant_l19,5.1890,0.05287
quant_l23,5.1888,0.05287
quant_l27,5.1887,0.05287
quant_l31,5.1892,0.05288
quant_l35,5.1889,0.05287
quant_l39,5.1879,0.05286
quant_l43,5.1897,0.05288
quant_l47,5.1887,0.05287
quant_l51,5.1891,0.05287
quant_l55,5.1887,0.05287
quant_l59,5.1893,0.05287
quant_l63,5.1916,0.05291
window_l3,5.1885,0.05286
window_l7,5.1861,0.05281
window_l11,5.2039,0.05315
window_l15,5.1834,0.05278
window_l19,5.1927,0.05296
window_l23,5.1888,0.05284
window_l27,5.2349,0.05352
window_l31,5.2026,0.05301
window_l35,5.2015,0.05303
window_l39,5.1940,0.05288
window_l43,5.2010,0.05305
window_l47,5.2009,0.05288
window_l51,5.2256,0.05338
window_l55,5.2031,0.05311
window_l59,5.2242,0.05350
window_l63,5.2156,0.05330
